"name","team_name","group","appearances","goals","assists","minutes","total_contributions","contributions_per_90","efficiency_score"
"Dayne St. Clair","Canada","B","16","0","0","1440","0","0.0","0.0"
"Maxime Cr?peau","Canada","B","14","0","0","1186","0","0.0","0.0"
"Owen Goodman","Canada","B","34","0","0","3006","0","0.0","0.0"
"Derek Cornelius","Canada","B","21","2","1","1419","3","0.19","0.14"
"Joel Waterman","Canada","B","16","0","0","1009","0","0.0","0.0"
"Kamal Miller","Canada","B","10","0","0","575","0","0.0","0.0"
"Luc De Fougerolles","Canada","B","33","0","2","2092","2","0.09","0.06"
"Jahkeele Marshall-Rutty","Canada","B","15","0","0","1031","0","0.0","0.0"
"Richie Laryea","Canada","B","18","2","1","1597","3","0.17","0.17"
"Niko Sigur","Canada","B","43","2","4","3148","6","0.17","0.14"
"Ralph Priso","Canada","B","11","0","0","775","0","0.0","0.0"
"Isma?l Kon?","Canada","B","41","7","0","3247","7","0.19","0.17"
"Nathan-Dylan Saliba","Canada","B","48","4","2","3078","6","0.18","0.13"
"Jonathan Osorio","Canada","B","17","0","2","1182","2","0.15","0.12"
"Mathieu Choini?re","Canada","B","25","2","3","1331","5","0.34","0.2"
"Ali Ahmed","Canada","B","28","5","4","1801","9","0.45","0.32"
"Marcelo Flores","Canada","B","25","4","1","1220","5","0.37","0.2"
"Liam Millar","Canada","B","40","3","5","2192","8","0.33","0.2"
"Junior Hoilett","Canada","B","41","4","3","1482","7","0.43","0.17"
"Tajon Buchanan","Canada","B","47","7","1","2720","8","0.26","0.17"
"Jonathan David","Canada","B","52","11","5","2941","16","0.49","0.31"
"Tani Oluwaseyi","Canada","B","42","7","3","1851","10","0.49","0.24"
"Daniel Jebbison","Canada","B","42","6","2","2198","8","0.33","0.19"
"Cyle Larin","Canada","B","38","10","2","1646","12","0.66","0.32"
"Jacen Russell-Rowe","Canada","B","16","2","0","545","2","0.33","0.12"
"Aribim Pepple","Canada","B","0","0","0","0","0","0.0","0.0"
"Ra?l Rangel","Mexico","A","42","0","0","3780","0","0.0","0.0"
"Carlos Acevedo","Mexico","A","32","0","0","2860","0","0.0","0.0"
"Israel Reyes","Mexico","A","45","0","2","3772","2","0.05","0.05"
"Jes?s Gallardo","Mexico","A","48","9","6","3835","15","0.35","0.31"
"?rik Lira","Mexico","A","55","1","0","4356","1","0.02","0.02"
"Luis Romo","Mexico","A","31","1","2","2563","3","0.11","0.1"
"Gilberto Mora","Mexico","A","21","5","1","1439","6","0.38","0.29"
"Brian Guti?rrez","Mexico","A","21","3","2","1146","5","0.39","0.24"
"Alexis Vega","Mexico","A","30","4","11","1775","15","0.76","0.5"
"Roberto Alvarado","Mexico","A","37","4","5","2707","9","0.3","0.24"
"Armando Gonz?lez","Mexico","A","40","25","3","2597","28","0.97","0.7"
"Guillermo Mart?nez","Mexico","A","29","9","0","1409","9","0.57","0.31"
"Patrick Schulte","USA","D","11","0","0","990","0","0.0","0.0"
"Matt Turner","USA","D","11","0","0","990","0","0.0","0.0"
"Chris Brady","USA","D","12","0","0","1080","0","0.0","0.0"
"Matt Freese","USA","D","19","0","0","1710","0","0.0","0.0"
"Chris Richards","USA","D","52","2","0","4400","2","0.04","0.04"
"Auston Trusty","USA","D","39","2","2","3393","4","0.11","0.11"
"Mark McKenzie","USA","D","37","0","2","2963","2","0.06","0.05"
"Miles Robinson","USA","D","12","0","0","923","0","0.0","0.0"
"Tim Ream","USA","D","13","0","0","1108","0","0.0","0.0"
"Antonee Robinson","USA","D","25","0","2","1625","2","0.11","0.08"
"Joe Scally","USA","D","37","2","3","2766","5","0.16","0.13"
"Alex Freeman","USA","D","16","2","0","703","2","0.26","0.13"
"Tanner Tessmann","USA","D","47","3","0","2890","3","0.09","0.06"
"Weston McKennie","USA","D","49","10","8","3909","18","0.41","0.36"
"Johnny Cardoso","USA","D","31","1","0","1760","1","0.05","0.03"
"Aidan Morris","USA","D","48","0","3","3682","3","0.07","0.06"
"Sebastian Berhalter","USA","D","19","5","5","1404","10","0.64","0.53"
"Cristian Rold?n","USA","D","20","3","5","1358","8","0.53","0.4"
"Timothy Weah","USA","D","45","3","4","3381","7","0.19","0.16"
"Malik Tillman","USA","D","43","8","2","2476","10","0.36","0.23"
"Brenden Aaronson","USA","D","43","4","5","2668","9","0.3","0.21"
"Giovanni Reyna","USA","D","22","1","2","657","3","0.41","0.14"
"Max Arfsten","USA","D","19","3","7","1384","10","0.65","0.53"
"Christian Pulisic","USA","D","38","10","4","2067","14","0.61","0.37"
"Folarin Balogun","USA","D","49","22","5","3500","27","0.69","0.55"
"Ricardo Pepi","USA","D","34","17","3","1564","20","1.15","0.59"
"Patrick Agyemang","USA","D","40","11","4","2842","15","0.48","0.38"
"Mathew Ryan","Australia","D","36","0","0","3240","0","0.0","0.0"
"Patrick Beach","Australia","D","39","0","0","3570","0","0.0","0.0"
"Paul Izzo","Australia","D","30","0","0","2696","0","0.0","0.0"
"Alessandro Circati","Australia","D","36","2","1","3054","3","0.09","0.08"
"Cameron Burgess","Australia","D","59","2","0","5076","2","0.04","0.04"
"Lucas Herrington","Australia","D","26","2","1","2265","3","0.12","0.12"
"Kye Rowles","Australia","D","15","1","0","1294","1","0.07","0.07"
"Milos Degenek","Australia","D","30","2","0","2239","2","0.08","0.07"
"Jordan Bos","Australia","D","40","7","12","2738","19","0.62","0.47"
"Aziz Behich","Australia","D","35","3","3","3177","6","0.17","0.17"
"Jacob Italiano","Australia","D","27","4","2","2293","6","0.24","0.23"
"Jason Geria","Australia","D","15","1","1","1227","2","0.15","0.14"
"Aiden O'Neill","Australia","D","20","0","1","1646","1","0.05","0.05"
"Kai Trewin","Australia","D","36","1","0","3002","1","0.03","0.03"
"Paul Okon-Engstler","Australia","D","30","0","2","2365","2","0.08","0.07"
"Patrick Yazbek","Australia","D","22","1","3","1255","4","0.29","0.18"
"Riley McGree","Australia","D","30","5","4","1748","9","0.46","0.3"
"Connor Metcalfe","Australia","D","35","0","3","1111","3","0.24","0.08"
"Alex Robertson","Australia","D","38","6","3","2266","9","0.36","0.24"
"Ajdin Hrustic","Australia","D","35","4","7","2700","11","0.37","0.32"
"Nishan Velupillay","Australia","D","23","4","2","1513","6","0.36","0.26"
"Awer Mabil","Australia","D","32","4","6","1885","10","0.48","0.31"
"Nestory Irankunda","Australia","D","50","8","5","2591","13","0.45","0.26"
"Ante Suto","Australia","D","31","8","7","1720","15","0.78","0.48"
"Deni Juri?","Australia","D","28","12","2","1885","14","0.67","0.5"
"Martin Boyle","Australia","D","50","10","3","2757","13","0.42","0.26"
"Ahmed Basil Fadhil","Iraq","I","34","0","0","3001","0","0.0","0.0"
"Fahad Talib","Iraq","I","25","0","0","2250","0","0.0","0.0"
"Kumel Al-Rekabe","Iraq","I","26","0","1","2269","1","0.04","0.04"
"Zaid Tahseen","Iraq","I","10","0","1","746","1","0.12","0.1"
"Akam Hashem","Iraq","I","30","2","0","2408","2","0.07","0.06"
"Maytham Jabbar","Iraq","I","31","0","1","2403","1","0.04","0.03"
"Manaf Younis","Iraq","I","32","0","0","2475","0","0.0","0.0"
"Frans Dhia Putros","Iraq","I","35","2","2","2657","4","0.14","0.12"
"Rebin Sulaka","Iraq","I","27","0","1","2109","1","0.04","0.03"
"Merchas Doski","Iraq","I","43","1","4","2803","5","0.16","0.12"
"Ahmed Hasan","Iraq","I","20","4","5","1607","9","0.5","0.45"
"Hussein Ali","Iraq","I","14","1","0","560","1","0.16","0.07"
"Amir Al-Ammari","Iraq","I","34","0","5","2523","5","0.18","0.15"
"Zaid Ismail","Iraq","I","28","4","3","2382","7","0.26","0.25"
"Zidane Iqbal","Iraq","I","18","0","1","864","1","0.1","0.05"
"Aimar Sher","Iraq","I","11","1","1","873","2","0.21","0.18"
"Kevin Yakob","Iraq","I","35","3","3","1904","6","0.28","0.17"
"Ibrahim Bayesh","Iraq","I","23","1","2","1817","3","0.15","0.13"
"Karar Nabeel","Iraq","I","27","0","3","1773","3","0.15","0.11"
"Marko Farji","Iraq","I","6","0","1","256","1","0.35","0.17"
"Youssef Amyn","Iraq","I","20","2","2","880","4","0.41","0.2"
"Ali Jasim","Iraq","I","28","7","1","1921","8","0.37","0.28"
"Hasan Abdulkareem","Iraq","I","34","12","6","2567","18","0.63","0.53"
"Peter Gwargis","Iraq","I","27","14","4","2316","18","0.7","0.67"
"Ali Al-Hamadi","Iraq","I","17","2","1","609","3","0.44","0.18"
"Mohanad Ali","Iraq","I","22","10","1","1475","11","0.67","0.5"
"Aymen Hussein","Iraq","I","19","10","1","1076","11","0.92","0.58"
"Ali Yousif","Iraq","I","16","2","1","517","3","0.52","0.19"
"Payam Niazmand","IR Iran","G","24","0","0","2145","0","0.0","0.0"
"Alireza Beiranvand","IR Iran","G","33","0","0","2962","0","0.0","0.0"
"Mohammad Khalifeh","IR Iran","G","33","0","0","2955","0","0.0","0.0"
"Seyed Hossein Hosseini","IR Iran","G","24","0","0","2145","0","0.0","0.0"
"Hossein Kanaani","IR Iran","G","20","2","0","1647","2","0.11","0.1"
"Danial Eiri","IR Iran","G","32","0","0","2664","0","0.0","0.0"
"Aref Aghasi","IR Iran","G","7","0","0","507","0","0.0","0.0"
"Ali Nemati","IR Iran","G","27","0","0","2280","0","0.0","0.0"
"Hossein Abarghouei","IR Iran","G","20","0","1","1645","1","0.05","0.05"
"Masoud Mohebi","IR Iran","G","28","2","1","1995","3","0.14","0.11"
"Shoja Khalilzadeh","IR Iran","G","38","1","1","3437","2","0.05","0.05"
"Milad Mohammadi","IR Iran","G","26","0","3","1856","3","0.15","0.12"
"Ehsan Hajsafi","IR Iran","G","32","3","6","2677","9","0.3","0.28"
"Arya Yousefi","IR Iran","G","30","2","3","2633","5","0.17","0.17"
"Saleh Hardani","IR Iran","G","28","0","3","2302","3","0.12","0.11"
"Danial Esmaeilifar","IR Iran","G","38","3","5","3142","8","0.23","0.21"
"Ramin Rezaeian","IR Iran","G","21","2","6","1476","8","0.49","0.38"
"Aref Hajieydi","IR Iran","G","27","0","0","1997","0","0.0","0.0"
"Roozbeh Cheshmi","IR Iran","G","20","3","0","1495","3","0.18","0.15"
"Omid Noorafkan","IR Iran","G","33","0","1","1629","1","0.06","0.03"
"Amirmohammad Razzaghinia","IR Iran","G","39","2","0","2615","2","0.07","0.05"
"Hadi Habibinejad","IR Iran","G","18","6","3","1111","9","0.73","0.5"
"Mehdi Torabi","IR Iran","G","26","2","5","1673","7","0.38","0.27"
"Amirhossein Mahmoudi","IR Iran","G","6","1","1","374","2","0.48","0.33"
"Mehdi Hashemnejad","IR Iran","G","36","5","8","2749","13","0.43","0.36"
"Mohammadmehdi Mohebi","IR Iran","G","17","1","0","828","1","0.11","0.06"
"Amirhossein Hosseinzadeh","IR Iran","G","39","15","9","3333","24","0.65","0.62"
"Ali Alipour","IR Iran","G","27","6","7","2210","13","0.53","0.48"
"Kasra Taheri","IR Iran","G","13","10","2","725","12","1.49","0.92"
"Ehsan Mahroughi","IR Iran","G","24","9","1","1668","10","0.54","0.42"
"Pouria Shahrabadi","IR Iran","G","18","4","2","1102","6","0.49","0.33"
"Zion Suzuki","Japan","F","25","0","0","2250","0","0.0","0.0"
"Keisuke Osako","Japan","F","24","0","0","2160","0","0.0","0.0"
"Tomoki Hayakawa","Japan","F","17","0","0","1530","0","0.0","0.0"
"Hiroki Ito","Japan","F","23","1","2","1075","3","0.25","0.13"
"Tsuyoshi Watanabe","Japan","F","44","5","0","3725","5","0.12","0.11"
"Junnosuke Suzuki","Japan","F","37","1","2","3012","3","0.09","0.08"
"Shogo Taniguchi","Japan","F","41","1","1","3193","2","0.06","0.05"
"Yukinari Sugawara","Japan","F","39","0","6","2748","6","0.2","0.16"
"Daiki Hashioka","Japan","F","28","0","0","1517","0","0.0","0.0"
"Kaishu Sano","Japan","F","52","2","7","4454","9","0.18","0.17"
"Ayumu Seko","Japan","F","35","0","0","2951","0","0.0","0.0"
"Kodai Sano","Japan","F","38","3","8","3359","11","0.29","0.28"
"Joel Chima Fujita","Japan","F","40","1","4","3110","5","0.14","0.12"
"Ao Tanaka","Japan","F","35","4","0","1730","4","0.21","0.12"
"Ryunosuke Sato","Japan","F","21","9","2","1329","11","0.74","0.52"
"Daichi Kamada","Japan","F","48","2","5","3257","7","0.19","0.14"
"Kaoru Mitoma","Japan","F","31","4","1","1954","5","0.23","0.16"
"Daizen Maeda","Japan","F","54","12","10","4108","22","0.48","0.41"
"Keito Nakamura","Japan","F","37","12","5","2756","17","0.56","0.46"
"Ritsu Doan","Japan","F","46","8","6","3423","14","0.37","0.31"
"Junya Ito","Japan","F","38","6","7","2300","13","0.51","0.34"
"Yuito Suzuki","Japan","F","45","9","7","3095","16","0.47","0.36"
"Ayase Ueda","Japan","F","0","0","0","0","0","0.0","0.0"
"Kento Shiogai","Japan","F","28","10","1","968","11","1.02","0.39"
"Keisuke Goto","Japan","F","42","15","8","2955","23","0.7","0.55"
"Shuto Machino","Japan","F","39","5","1","1256","6","0.43","0.15"
"Koki Ogawa","Japan","F","32","10","4","1594","14","0.79","0.44"
"Yazeed Abulaila","Jordan","J","29","0","1","2492","1","0.04","0.04"
"Abdallah Al-Fakhouri","Jordan","J","18","0","0","1455","0","0.0","0.0"
"Abdel Rahman Al-Talalga","Jordan","J","7","0","0","660","0","0.0","0.0"
"Yazan Al-Arab","Jordan","J","22","1","1","1665","2","0.11","0.09"
"Abdallah Nasib","Jordan","J","31","1","0","2681","1","0.03","0.03"
"Husam Abu Dahab","Jordan","J","11","0","0","833","0","0.0","0.0"
"Yousef Abu Al-Jazar","Jordan","J","9","1","0","311","1","0.29","0.11"
"Mohammad Abualnadi","Jordan","J","40","0","3","2842","3","0.1","0.08"
"Saleem Obaid","Jordan","J","24","2","1","1914","3","0.14","0.12"
"Mohammad Abu Hasheesh","Jordan","J","25","0","0","1806","0","0.0","0.0"
"Mohannad Abu Taha","Jordan","J","31","4","7","2400","11","0.41","0.35"
"Mohammad Taha","Jordan","J","25","4","6","1963","10","0.46","0.4"
"Nizar Al-Rashdan","Jordan","J","29","3","2","2293","5","0.2","0.18"
"Noor Al-Rawabdeh","Jordan","J","43","2","8","3016","10","0.3","0.23"
"Amer Jamous","Jordan","J","37","5","4","2771","9","0.29","0.24"
"Ibrahim Saadeh","Jordan","J","36","1","4","2164","5","0.21","0.14"
"Mohammad Al-Dawoud","Jordan","J","11","2","0","589","2","0.31","0.18"
"Yousef Qashi","Jordan","J","7","1","0","451","1","0.2","0.14"
"Ahmad Assaf","Jordan","J","18","0","0","890","0","0.0","0.0"
"Mahmoud Al-Mardi","Jordan","J","22","1","5","1388","6","0.39","0.27"
"Odeh Fakhoury","Jordan","J","39","13","3","2309","16","0.62","0.41"
"Mousa Tamari","Jordan","J","42","8","11","2915","19","0.59","0.45"
"Shararh","Jordan","J","23","6","3","1420","9","0.57","0.39"
"Ali Azaizeh","Jordan","J","20","8","0","1106","8","0.65","0.4"
"Ibrahim Sabra","Jordan","J","26","7","0","995","7","0.63","0.27"
"Baha'a Faisal","Jordan","J","20","10","1","1635","11","0.61","0.55"
"Bum-keun Song","Korea Republic","A","14","0","0","1260","0","0.0","0.0"
"Hyeon-woo Jo","Korea Republic","A","20","0","0","1800","0","0.0","0.0"
"Seung-gyu Kim","Korea Republic","A","18","0","0","1620","0","0.0","0.0"
"Min-jae Kim","Korea Republic","A","44","1","1","2699","2","0.07","0.05"
"Yu-min Cho","Korea Republic","A","32","0","1","2434","1","0.04","0.03"
"Han-beom Lee","Korea Republic","A","52","3","4","3940","7","0.16","0.13"
"Ju-sung Kim","Korea Republic","A","15","0","0","1145","0","0.0","0.0"
"Tae-hyeon Kim","Korea Republic","A","19","1","1","1525","2","0.12","0.11"
"Tae-seok Lee","Korea Republic","A","35","4","4","2767","8","0.26","0.23"
"Young-woo Seol","Korea Republic","A","54","2","6","4554","8","0.16","0.15"
"Moon-hwan Kim","Korea Republic","A","18","0","1","1328","1","0.07","0.06"
"In-beom Hwang","Korea Republic","A","26","1","5","1496","6","0.36","0.23"
"Hyeok-kyu Kwon","Korea Republic","A","22","0","0","1177","0","0.0","0.0"
"Jin-seob Park","Korea Republic","A","14","0","0","1112","0","0.0","0.0"
"Seung-ho Paik","Korea Republic","A","50","4","1","3826","5","0.12","0.1"
"Jin-gyu Kim","Korea Republic","A","21","1","1","1396","2","0.13","0.1"
"Kang-in Lee","Korea Republic","A","45","4","8","2284","12","0.47","0.26"
"Hyun-seok Hong","Korea Republic","A","22","1","1","1068","2","0.17","0.09"
"Jun-ho Bae","Korea Republic","A","49","3","3","3234","6","0.17","0.12"
"Jae-sung Lee","Korea Republic","A","42","6","5","3002","11","0.33","0.26"
"Heung-min Son","Korea Republic","A","25","5","16","1800","21","1.05","0.84"
"Ji-sung Eom","Korea Republic","A","53","4","6","2816","10","0.32","0.19"
"Hyun-jun Yang","Korea Republic","A","45","9","2","2844","11","0.35","0.25"
"Hyeon-gyu Oh","Korea Republic","A","54","20","7","3585","27","0.68","0.5"
"Hee-chan Hwang","Korea Republic","A","33","3","3","1694","6","0.32","0.18"
"Gue-sung Cho","Korea Republic","A","43","8","1","2377","9","0.34","0.21"
"Meshaal Barsham","Qatar","B","32","0","0","2895","0","0.0","0.0"
"Shehab Ellethy","Qatar","B","23","0","0","2070","0","0.0","0.0"
"Mahmoud Abunada","Qatar","B","22","0","0","1935","0","0.0","0.0"
"Tarek Salman","Qatar","B","33","1","1","2548","2","0.07","0.06"
"Youssef Ayman","Qatar","B","20","0","0","1580","0","0.0","0.0"
"Lucas Mendes","Qatar","B","19","1","2","1607","3","0.17","0.16"
"Al-Hashmi Al-Hussain","Qatar","B","21","3","0","1434","3","0.19","0.14"
"Issa Laye","Qatar","B","12","0","1","869","1","0.1","0.08"
"Niall Mason","Qatar","B","9","2","0","735","2","0.24","0.22"
"Mohammed Waad","Qatar","B","18","0","0","941","0","0.0","0.0"
"Homam Al-Amin","Qatar","B","33","0","0","1660","0","0.0","0.0"
"Sultan Al-Brake","Qatar","B","29","1","2","2207","3","0.12","0.1"
"Ayoub Al-Oui","Qatar","B","31","2","0","2408","2","0.07","0.06"
"Jassem Gaber","Qatar","B","21","0","1","1101","1","0.08","0.05"
"Mohamed Al-Mannai","Qatar","B","23","5","2","1595","7","0.39","0.3"
"Assim Madibo","Qatar","B","0","0","0","0","0","0.0","0.0"
"Ahmed Fathi","Qatar","B","22","0","1","1726","1","0.05","0.04"
"Abdulaziz Hatim","Qatar","B","21","0","1","1117","1","0.08","0.05"
"Anas Abweny","Qatar","B","22","0","0","1180","0","0.0","0.0"
"Akram Afif","Qatar","B","34","17","17","3045","34","1.0","0.99"
"Edm?lson Junior","Qatar","B","31","7","4","2530","11","0.39","0.35"
"Mohamed Khaled Gouda","Qatar","B","27","2","0","1257","2","0.14","0.07"
"Khalid Ali Sabah","Qatar","B","21","7","3","1225","10","0.73","0.47"
"Ahmed Alaaeldin","Qatar","B","26","6","2","1314","8","0.55","0.31"
"Mohammed Muntari","Qatar","B","12","1","0","531","1","0.17","0.08"
"Nawaf Al-Aqidi","Saudi Arabia","H","15","0","1","1320","1","0.07","0.07"
"Mohammed Al-Yami","Saudi Arabia","H","10","0","0","900","0","0.0","0.0"
"Ahmed Al-Kassar","Saudi Arabia","H","3","0","0","205","0","0.0","0.0"
"Abdulelah Al-Amri","Saudi Arabia","H","36","4","3","2702","7","0.23","0.19"
"Rayan Hamed","Saudi Arabia","H","31","2","0","2370","2","0.08","0.07"
"Ayman Yahya","Saudi Arabia","H","38","3","2","1845","5","0.24","0.13"
"Muteb Al-Mufarrij","Saudi Arabia","H","27","0","1","2074","1","0.04","0.03"
"Hassan Kadesh","Saudi Arabia","H","34","1","1","2726","2","0.07","0.06"
"Saud Abdulhamid","Saudi Arabia","H","0","0","0","0","0","0.0","0.0"
"Ali Majrashi","Saudi Arabia","H","46","1","5","3258","6","0.17","0.13"
"Ziyad Al-Johani","Saudi Arabia","H","38","1","1","2163","2","0.08","0.05"
"Musab Al-Juwayr","Saudi Arabia","H","41","6","13","2970","19","0.58","0.47"
"Murad Al-Hawsawi","Saudi Arabia","H","22","2","3","1289","5","0.35","0.23"
"Mohamed Kanno","Saudi Arabia","H","46","5","5","3168","10","0.28","0.21"
"Naif Masoud","Saudi Arabia","H","28","1","0","1738","1","0.05","0.03"
"Salman Al-Faraj","Saudi Arabia","H","16","0","0","655","0","0.0","0.0"
"Marwan Al-Sahafi","Saudi Arabia","H","32","1","1","1752","2","0.1","0.06"
"Khalid Al-Ghannam","Saudi Arabia","H","31","11","5","2054","16","0.7","0.52"
"Turki Al-Ammar","Saudi Arabia","H","25","2","2","779","4","0.46","0.16"
"Sultan Mandash","Saudi Arabia","H","0","0","0","0","0","0.0","0.0"
"Firas Al-Buraikan","Saudi Arabia","H","54","8","1","2822","9","0.29","0.17"
"Saleh Al-Shehri","Saudi Arabia","H","26","4","1","696","5","0.65","0.19"
"Abdullah Al-Hamdan","Saudi Arabia","H","37","9","2","1118","11","0.89","0.3"
"Abduvokhid Nematov","Uzbekistan","K","21","0","0","1890","0","0.0","0.0"
"Botirali Ergashev","Uzbekistan","K","12","0","0","1080","0","0.0","0.0"
"Utkir Yusupov","Uzbekistan","K","12","0","0","1080","0","0.0","0.0"
"Abdukodir Khusanov","Uzbekistan","K","37","0","0","2796","0","0.0","0.0"
"Rustam Ashurmatov","Uzbekistan","K","28","1","0","2290","1","0.04","0.04"
"Mukhammadkodir Khamraliev","Uzbekistan","K","10","1","1","742","2","0.24","0.2"
"Jakhongir Urozov","Uzbekistan","K","18","2","0","1620","2","0.11","0.11"
"Umar Eshmurodov","Uzbekistan","K","19","0","2","1623","2","0.11","0.1"
"Mukhammadrasul Abdumazhidov","Uzbekistan","K","14","0","1","1215","1","0.07","0.07"
"Sherzod Nasrullaev","Uzbekistan","K","23","0","1","2011","1","0.04","0.04"
"Farrukh Sayfiev","Uzbekistan","K","14","0","2","845","2","0.21","0.14"
"Khozhiakbar Alizhonov","Uzbekistan","K","17","1","2","1386","3","0.19","0.17"
"Bekhruz Karimov","Uzbekistan","K","21","1","1","1547","2","0.12","0.1"
"Odildzhon Khamrobekov","Uzbekistan","K","34","0","2","2266","2","0.08","0.06"
"Umarali Rakhmonaliev","Uzbekistan","K","38","7","3","2932","10","0.31","0.27"
"Aziz Ganiev","Uzbekistan","K","30","2","4","2409","6","0.22","0.2"
