"name","team_name","group","appearances","goals","assists","minutes","total_contributions","contributions_per_90","efficiency_score"
"Marco Pa?ali?","Croatia","L","9","2","1","643","3","0.42","0.33"
"Igor Matanovic","Croatia","L","48","13","3","2415","16","0.6","0.34"
"Petar Musa","Croatia","L","12","10","2","888","12","1.22","1.0"
"Ante Budimir","Croatia","L","38","19","0","2803","19","0.61","0.5"
"Dean Henderson","England","L","47","0","0","4230","0","0.0","0.0"
"James Trafford","England","L","16","0","0","1440","0","0.0","0.0"
"Jordan Pickford","England","L","38","0","0","3450","0","0.0","0.0"
"Aaron Ramsdale","England","L","23","0","0","2023","0","0.0","0.0"
"Jason Steele","England","L","5","0","0","450","0","0.0","0.0"
"Marc Gu?hi","England","L","51","5","7","4335","12","0.25","0.24"
"Ezri Konsa","England","L","47","2","2","4073","4","0.09","0.09"
"Fikayo Tomori","England","L","36","0","3","2855","3","0.09","0.08"
"John Stones","England","L","17","0","0","1138","0","0.0","0.0"
"Harry Maguire","England","L","25","2","2","1628","4","0.22","0.16"
"Dan Burn","England","L","42","2","6","3279","8","0.22","0.19"
"Nico O'Reilly","England","L","51","9","6","3833","15","0.35","0.29"
"Lewis Hall","England","L","48","1","3","3226","4","0.11","0.08"
"Djed Spence","England","L","43","0","0","3067","0","0.0","0.0"
"Tino Livramento","England","L","28","0","1","1931","1","0.05","0.04"
"Ben White","England","L","31","2","2","1932","4","0.19","0.13"
"Adam Wharton","England","L","49","0","7","3719","7","0.17","0.14"
"James Garner","England","L","40","3","7","3532","10","0.25","0.25"
"Jordan Henderson","England","L","33","1","3","2054","4","0.18","0.12"
"Declan Rice","England","L","53","5","11","4225","16","0.34","0.3"
"Elliot Anderson","England","L","49","3","3","4082","6","0.13","0.12"
"Kobbie Mainoo","England","L","30","1","3","1673","4","0.22","0.14"
"Jude Bellingham","England","L","36","6","5","2441","11","0.41","0.31"
"Cole Palmer","England","L","33","10","3","2267","13","0.52","0.4"
"Phil Foden","England","L","48","10","5","2927","15","0.46","0.31"
"Morgan Rogers","England","L","54","13","10","4454","23","0.46","0.42"
"Anthony Gordon","England","L","48","17","5","3030","22","0.65","0.46"
"Marcus Rashford","England","L","49","13","14","2511","27","0.97","0.55"
"Harvey Barnes","England","L","55","15","5","3229","20","0.56","0.37"
"Bukayo Saka","England","L","47","12","8","3073","20","0.59","0.43"
"Noni Madueke","England","L","41","7","4","2165","11","0.46","0.27"
"Jarrod Bowen","England","L","42","10","11","3692","21","0.51","0.5"
"Harry Kane","England","L","48","55","7","3780","62","1.48","1.29"
"Dominic Solanke","England","L","22","6","0","1245","6","0.43","0.27"
"Dominic Calvert-Lewin","England","L","37","13","1","2740","14","0.46","0.38"
"Lucas Chevalier","France","I","26","0","0","2340","0","0.0","0.0"
"Mike Maignan","France","I","39","0","0","3476","0","0.0","0.0"
"Brice Samba","France","I","34","0","0","3060","0","0.0","0.0"
"Dayot Upamecano","France","I","40","2","3","3171","5","0.14","0.12"
"Ibrahima Konat?","France","I","50","2","0","4191","2","0.04","0.04"
"Maxence Lacroix","France","I","53","3","3","4633","6","0.12","0.12"
"Pierre Kalulu","France","I","48","2","7","4202","9","0.19","0.18"
"Theo Hern?ndez","France","I","42","9","5","3627","14","0.35","0.34"
"Lucas Hern?ndez","France","I","35","0","2","2010","2","0.09","0.06"
"Lucas Digne","France","I","0","0","0","0","0","0.0","0.0"
"Malo Gusto","France","I","48","3","5","3220","8","0.22","0.16"
"Aur?lien Tchouam?ni","France","I","47","2","2","3775","4","0.1","0.09"
"N'Golo Kant?","France","I","44","4","1","3729","5","0.12","0.11"
"Warren Za?re-Emery","France","I","55","3","6","4337","9","0.19","0.17"
"Eduardo Camavinga","France","I","41","2","1","2046","3","0.13","0.07"
"Adrien Rabiot","France","I","31","6","5","2730","11","0.36","0.35"
"Rayan Cherki","France","I","48","10","14","2750","24","0.79","0.5"
"Michael Olise","France","I","51","21","31","3908","52","1.2","1.02"
"D?sir? Dou?","France","I","40","14","10","2398","24","0.9","0.6"
"Maghnes Akliouche","France","I","43","7","12","3332","19","0.51","0.44"
"Kylian Mbapp?","France","I","43","42","6","3498","48","1.23","1.11"
"Ousmane Demb?l?","France","I","37","19","11","2036","30","1.33","0.81"
"Hugo Ekitik?","France","I","47","18","6","2965","24","0.73","0.51"
"Marcus Thuram","France","I","44","19","8","2856","27","0.85","0.61"
"Randal Kolo Muani","France","I","39","5","4","2054","9","0.39","0.23"
"Alexander N?bel","Germany","E","48","0","2","4337","2","0.04","0.04"
"Finn Dahmen","Germany","E","34","0","0","3016","0","0.0","0.0"
"Oliver Baumann","Germany","E","36","0","0","3227","0","0.0","0.0"
"Nico Schlotterbeck","Germany","E","38","5","2","3380","7","0.19","0.19"
"Malick Thiaw","Germany","E","51","5","1","4371","6","0.12","0.11"
"Jonathan Tah","Germany","E","48","4","2","3718","6","0.15","0.13"
"Waldemar Anton","Germany","E","43","3","0","3837","3","0.07","0.07"
"Antonio R?diger","Germany","E","25","1","0","2055","1","0.04","0.04"
"Nathaniel Brown","Germany","E","42","4","6","3432","10","0.26","0.24"
"David Raum","Germany","E","36","3","9","3035","12","0.36","0.34"
"Josha Vagnoman","Germany","E","39","2","4","2064","6","0.26","0.15"
"Angelo Stiller","Germany","E","52","2","10","4167","12","0.26","0.23"
"Joshua Kimmich","Germany","E","48","2","11","3983","13","0.29","0.27"
"Anton Stach","Germany","E","33","5","3","2347","8","0.31","0.24"
"Leon Goretzka","Germany","E","47","5","4","2329","9","0.35","0.19"
"Pascal Gro?","Germany","E","37","1","6","2395","7","0.26","0.19"
"Florian Wirtz","Germany","E","49","9","12","3614","21","0.52","0.43"
"Lennart Karl","Germany","E","41","12","7","2141","19","0.8","0.46"
"Kevin Schade","Germany","E","36","7","4","2833","11","0.35","0.31"
"Chris F?hrich","Germany","E","51","8","8","2472","16","0.58","0.31"
"Leroy San?","Germany","E","43","7","10","3311","17","0.46","0.39"
"Serge Gnabry","Germany","E","39","11","12","2176","23","0.95","0.59"
"Nick Woltemade","Germany","E","53","11","5","3147","16","0.46","0.3"
"Kai Havertz","Germany","E","22","6","4","943","10","0.95","0.45"
"Deniz Undav","Germany","E","45","26","13","3501","39","1.0","0.86"
"Bart Verbruggen","Netherlands","F","37","0","0","3285","0","0.0","0.0"
"Mark Flekken","Netherlands","F","34","0","0","3017","0","0.0","0.0"
"Justin Bijlow","Netherlands","F","15","0","0","1305","0","0.0","0.0"
"Micky van de Ven","Netherlands","F","44","7","1","3808","8","0.19","0.18"
"Jan Paul van Hecke","Netherlands","F","40","3","3","3300","6","0.16","0.15"
"Virgil van Dijk","Netherlands","F","55","7","3","4896","10","0.18","0.18"
"Nathan Ak?","Netherlands","F","30","0","0","1522","0","0.0","0.0"
"Stefan de Vrij","Netherlands","F","17","0","0","1092","0","0.0","0.0"
"Jorrel Hato","Netherlands","F","34","2","1","2028","3","0.13","0.09"
"Jeremie Frimpong","Netherlands","F","35","2","2","1791","4","0.2","0.11"
"Denzel Dumfries","Netherlands","F","28","5","2","1783","7","0.35","0.25"
"Lutsharel Geertruida","Netherlands","F","30","0","0","1758","0","0.0","0.0"
"Ryan Gravenberch","Netherlands","F","49","6","6","4064","12","0.27","0.25"
"Jerdy Schouten","Netherlands","F","42","1","2","3514","3","0.08","0.07"
"Teun Koopmeiners","Netherlands","F","44","2","2","2617","4","0.14","0.09"
"Tijjani Reijnders","Netherlands","F","46","8","8","2743","16","0.52","0.34"
"Kees Smit","Netherlands","F","51","5","11","4076","16","0.35","0.31"
"Quinten Timber","Netherlands","F","40","4","4","2981","8","0.24","0.2"
"Luciano Valente","Netherlands","F","42","3","8","3117","11","0.32","0.26"
"Xavi Simons","Netherlands","F","45","6","7","2846","13","0.41","0.29"
"Cody Gakpo","Netherlands","F","52","9","7","3559","16","0.4","0.3"
"Noa Lang","Netherlands","F","44","3","4","1916","7","0.33","0.16"
"Donyell Malen","Netherlands","F","48","19","5","2623","24","0.82","0.5"
"Brian Brobbey","Netherlands","F","33","7","1","1944","8","0.37","0.24"
"Wout Weghorst","Netherlands","F","32","8","4","1978","12","0.55","0.38"
"Egil Selvik","Norway","I","43","0","0","3780","0","0.0","0.0"
"?rjan Nyland","Norway","I","9","0","0","765","0","0.0","0.0"
"Viljar Myhra","Norway","I","23","0","0","2070","0","0.0","0.0"
"Kristoffer Ajer","Norway","I","32","0","2","2221","2","0.08","0.06"
"Torbj?rn Heggem","Norway","I","38","0","0","2947","0","0.0","0.0"
"Leo ?stig?rd","Norway","I","33","5","1","2745","6","0.2","0.18"
"Odin Bj?rtuft","Norway","I","26","1","0","2297","1","0.04","0.04"
"Henrik Falchener","Norway","I","14","1","1","1062","2","0.17","0.14"
"David M?ller Wolfe","Norway","I","27","2","4","1360","6","0.4","0.22"
"Fredrik Bj?rkan","Norway","I","25","1","3","1832","4","0.2","0.16"
"Julian Ryerson","Norway","I","44","0","17","3204","17","0.48","0.39"
"Marcus Pedersen","Norway","I","32","1","4","2301","5","0.2","0.16"
"Sander Berge","Norway","I","41","0","1","3149","1","0.03","0.03"
"Patrick Berg","Norway","I","29","0","4","2479","4","0.15","0.14"
"Kristian Thorstvedt","Norway","I","33","4","4","2370","8","0.3","0.24"
"Felix Horn Myhre","Norway","I","26","3","2","2122","5","0.21","0.19"
"Morten Thorsby","Norway","I","24","3","2","1360","5","0.33","0.21"
"Antonio Nusa","Norway","I","36","6","4","2420","10","0.37","0.28"
"Andreas Schjelderup","Norway","I","45","11","8","2612","19","0.65","0.42"
"Jens Petter Hauge","Norway","I","26","7","7","2058","14","0.61","0.54"
"Oscar Bobb","Norway","I","32","0","1","1595","1","0.06","0.03"
"Erling Haaland","Norway","I","51","37","7","3982","44","0.99","0.86"
"J?rgen Strand Larsen","Norway","I","46","10","3","2895","13","0.4","0.28"
"Alexander S?rloth","Norway","I","53","19","1","2786","20","0.65","0.38"
"Rui Silva","Portugal","K","46","0","0","4170","0","0.0","0.0"
"Jos? S?","Portugal","K","23","0","0","2065","0","0.0","0.0"
"Ricardo Velho","Portugal","K","26","0","0","2255","0","0.0","0.0"
"Gon?alo In?cio","Portugal","K","44","3","3","3783","6","0.14","0.13"
"Tom?s Ara?jo","Portugal","K","39","1","1","2705","2","0.07","0.05"
"Ant?nio Silva","Portugal","K","42","1","1","3116","2","0.06","0.05"
"Renato Veiga","Portugal","K","42","1","0","3282","1","0.03","0.03"
"Nuno Mendes","Portugal","K","42","6","7","2949","13","0.4","0.31"
"Matheus Nunes","Portugal","K","47","1","9","3777","10","0.24","0.21"
"Diogo Dalot","Portugal","K","37","1","3","2796","4","0.13","0.11"
"Jo?o Cancelo","Portugal","K","27","2","6","1793","8","0.4","0.3"
"Vitinha","Portugal","K","49","7","10","3928","17","0.39","0.35"
"R?ben Neves","Portugal","K","42","11","10","3538","21","0.53","0.5"
"Sam? Costa","Portugal","K","35","7","2","2658","9","0.3","0.25"
"Jo?o Neves","Portugal","K","35","7","4","2507","11","0.39","0.31"
"Mateus Fernandes","Portugal","K","44","5","5","3588","10","0.25","0.23"
"Bruno Fernandes","Portugal","K","37","8","23","3144","31","0.89","0.84"
"Francisco Trinc?o","Portugal","K","53","13","18","4357","31","0.64","0.58"
"Pedro Gon?alves","Portugal","K","38","15","8","2668","23","0.78","0.61"
"Ricardo Horta","Portugal","K","53","21","14","4042","35","0.78","0.66"
"Gon?alo Guedes","Portugal","K","39","9","8","2363","17","0.65","0.44"
"Pedro Neto","Portugal","K","51","10","8","3687","18","0.44","0.35"
"Francisco Concei??o","Portugal","K","41","4","4","2562","8","0.28","0.19"
"Jo?o F?lix","Portugal","K","46","27","18","3601","45","1.12","0.97"
"Gon?alo Ramos","Portugal","K","43","12","2","1657","14","0.76","0.33"
"Paulinho","Portugal","K","42","29","5","3148","34","0.97","0.81"
"Angus Gunn","Scotland","C","2","0","0","135","0","0.0","0.0"
"Liam Kelly","Scotland","C","4","0","0","315","0","0.0","0.0"
"Scott Bain","Scotland","C","40","0","0","3629","0","0.0","0.0"
"Scott McKenna","Scotland","C","42","2","3","3716","5","0.12","0.12"
"John Souttar","Scotland","C","38","0","0","3184","0","0.0","0.0"
"Dominic Hyam","Scotland","C","48","1","0","4372","1","0.02","0.02"
"Jack Hendry","Scotland","C","29","1","0","2498","1","0.04","0.04"
"Grant Hanley","Scotland","C","24","0","0","1934","0","0.0","0.0"
"Andrew Robertson","Scotland","C","37","3","2","2079","5","0.22","0.14"
"Kieran Tierney","Scotland","C","51","6","11","3696","17","0.41","0.33"
"Nathan Patterson","Scotland","C","11","0","0","555","0","0.0","0.0"
"Ross McCrorie","Scotland","C","42","3","6","2998","9","0.27","0.21"
"Anthony Ralston","Scotland","C","34","1","0","2016","1","0.04","0.03"
"Billy Gilmour","Scotland","C","20","1","0","909","1","0.1","0.05"
"Scott McTominay","Scotland","C","43","13","4","3547","17","0.43","0.39"
"Lewis Ferguson","Scotland","C","44","1","0","2799","1","0.03","0.02"
"John McGinn","Scotland","C","42","9","6","2843","15","0.47","0.35"
"Lennon Miller","Scotland","C","24","1","2","931","3","0.29","0.12"
"Ryan Christie","Scotland","C","29","2","0","1157","2","0.16","0.07"
"Andrew Irving","Scotland","C","20","0","3","918","3","0.29","0.15"
"Kenny McLean","Scotland","C","47","3","4","3855","7","0.16","0.15"
"Findlay Curtis","Scotland","C","36","5","3","1561","8","0.46","0.22"
"Tommy Conway","Scotland","C","51","13","5","3910","18","0.41","0.35"
"Ch? Adams","Scotland","C","35","7","3","2122","10","0.42","0.28"
"George Hirst","Scotland","C","46","11","4","2324","15","0.58","0.33"
"Lyndon Dykes","Scotland","C","45","5","4","2093","9","0.39","0.2"
"Joan Garc?a","Spain","H","44","0","0","3890","0","0.0","0.0"
"David Raya","Spain","H","49","0","0","4382","0","0.0","0.0"
"Unai Sim?n","Spain","H","44","0","0","3960","0","0.0","0.0"
"?lex Remiro","Spain","H","36","0","0","3240","0","0.0","0.0"
"Pau Cubars?","Spain","H","47","1","1","3909","2","0.05","0.05"
"Dean Huijsen","Spain","H","39","2","2","3018","4","0.12","0.1"
"Cristhian Mosquera","Spain","H","36","0","0","2074","0","0.0","0.0"
"Aymeric Laporte","Spain","H","28","0","2","2299","2","0.08","0.07"
"Marc Cucurella","Spain","H","48","1","4","3707","5","0.12","0.1"
"Alejandro Grimaldo","Spain","H","46","14","12","3995","26","0.59","0.57"
"Pedro Porro","Spain","H","45","2","6","3743","8","0.19","0.18"
"Marcos Llorente","Spain","H","47","4","6","3692","10","0.24","0.21"
"Mart?n Zubimendi","Spain","H","54","6","3","4152","9","0.2","0.17"
"Rodri","Spain","H","33","2","0","2152","2","0.08","0.06"
"Pedri","Spain","H","42","2","11","2976","13","0.39","0.31"
"Carlos Soler","Spain","H","37","4","3","2661","7","0.24","0.19"
"Pablo Fornals","Spain","H","50","7","8","3567","15","0.38","0.3"
"Ferm?n L?pez","Spain","H","48","13","18","3010","31","0.93","0.65"
"Dani Olmo","Spain","H","47","8","9","2697","17","0.57","0.36"
"?lex Baena","Spain","H","44","2","3","2191","5","0.21","0.12"
"V?ctor Mu?oz","Spain","H","37","7","5","2748","12","0.39","0.32"
"Ander Barrenetxea","Spain","H","33","4","5","1945","9","0.42","0.27"
"Lamine Yamal","Spain","H","47","24","18","3810","42","0.99","0.89"
"Y?remy Pino","Spain","H","51","5","5","3139","10","0.29","0.2"
"Ferran Torres","Spain","H","48","20","3","2593","23","0.8","0.48"
"Mikel Oyarzabal","Spain","H","37","19","3","3032","22","0.65","0.59"
"Borja Iglesias","Spain","H","47","17","3","2513","20","0.72","0.43"
"Melker Ellborg","Sweden","F","12","0","0","1080","0","0.0","0.0"
"Noel T?rnqvist","Sweden","F","0","0","0","0","0","0.0","0.0"
"Kristoffer Nordfeldt","Sweden","F","16","0","1","1440","1","0.06","0.06"
"Isak Hien","Sweden","F","38","1","0","2712","1","0.03","0.02"
"Victor Lindel?f","Sweden","F","26","0","1","1706","1","0.05","0.04"
"Gustaf Lagerbielke","Sweden","F","53","5","0","4415","5","0.1","0.09"
"Carl Starfelt","Sweden","F","33","1","0","2537","1","0.04","0.03"
"Eric Smith","Sweden","F","30","2","2","2593","4","0.14","0.13"
"Daniel Svensson","Sweden","F","46","4","2","3475","6","0.16","0.13"
"Gabriel Gudmundsson","Sweden","F","37","1","1","3103","2","0.06","0.06"
"Jesper Karlstr?m","Sweden","F","38","1","0","3334","1","0.03","0.03"
"Lucas Bergvall","Sweden","F","34","1","5","1490","6","0.36","0.18"
"Hugo Larsson","Sweden","F","34","2","3","2481","5","0.18","0.15"
"Yasin Ayari","Sweden","F","32","4","4","2165","8","0.33","0.25"
"Mattias Svanberg","Sweden","F","25","5","2","797","7","0.79","0.28"
"Besfort Zeneli","Sweden","F","13","3","5","589","8","1.22","0.61"
"Herman Johansson","Sweden","F","12","0","1","889","1","0.1","0.08"
"Elliot Stroud","Sweden","F","13","6","2","1139","8","0.63","0.61"
"Williot Swedberg","Sweden","F","41","9","6","1980","15","0.68","0.36"
"Taha Ali","Sweden","F","23","5","3","1485","8","0.48","0.34"
"Anthony Elanga","Sweden","F","49","4","2","2239","6","0.24","0.12"
"Roony Bardghji","Sweden","F","28","3","4","947","7","0.67","0.25"
"Benjamin Nygren","Sweden","F","56","20","10","3763","30","0.72","0.54"
"Gustav Lundgren","Sweden","F","3","1","0","182","1","0.49","0.33"
"Viktor Gy?keres","Sweden","F","53","25","3","3493","28","0.72","0.53"
"Gustaf Nilsson","Sweden","F","11","0","0","108","0","0.0","0.0"
"Gregor Kobel","Switzerland","B","47","0","0","4260","0","0.0","0.0"
"Marvin Keller","Switzerland","B","46","0","0","4140","0","0.0","0.0"
"Yvon Mvogo","Switzerland","B","30","0","0","2700","0","0.0","0.0"
"Manuel Akanji","Switzerland","B","46","2","0","3724","2","0.05","0.04"
"Luca Jaquez","Switzerland","B","24","1","1","1575","2","0.11","0.08"
"Nico Elvedi","Switzerland","B","37","2","1","3270","3","0.08","0.08"
"Aur?le Amenda","Switzerland","B","30","0","0","1882","0","0.0","0.0"
"Eray C?mert","Switzerland","B","20","2","0","1536","2","0.12","0.1"
"Miro Muheim","Switzerland","B","33","0","7","2802","7","0.22","0.21"
"Ricardo Rodr?guez","Switzerland","B","34","0","1","2332","1","0.04","0.03"
"Silvan Widmer","Switzerland","B","41","3","2","2556","5","0.18","0.12"
"Ardon Jashari","Switzerland","B","17","0","1","823","1","0.11","0.06"
"Denis Zakaria","Switzerland","B","33","2","3","2721","5","0.17","0.16"
"Granit Xhaka","Switzerland","B","35","1","7","2848","8","0.25","0.23"
"Johan Manzambi","Switzerland","B","46","7","8","3491","15","0.39","0.33"
"Djibril Sow","Switzerland","B","32","5","2","2036","7","0.31","0.22"
"Michel Aebischer","Switzerland","B","36","1","1","2910","2","0.06","0.05"
"Remo Freuler","Switzerland","B","39","1","2","2985","3","0.09","0.08"
"Vincent Sierro","Switzerland","B","28","1","0","2155","1","0.04","0.03"
"Jo?l Monteiro","Switzerland","B","42","8","5","2585","13","0.45","0.31"
"Alvyn Sanches","Switzerland","B","32","9","5","2063","14","0.61","0.44"
"Fabian Rieder","Switzerland","B","0","0","0","0","0","0.0","0.0"
"Noah Okafor","Switzerland","B","34","8","3","1976","11","0.5","0.32"
"Rub?n Vargas","Switzerland","B","24","3","5","1520","8","0.47","0.33"
"Dan Ndoye","Switzerland","B","39","3","2","2137","5","0.21","0.13"
"Breel Embolo","Switzerland","B","34","11","3","2103","14","0.6","0.41"
"U?urcan ?ak?r","T?rkiye","D","43","0","0","3878","0","0.0","0.0"
"Altay Bay?nd?r","T?rkiye","D","6","0","0","540","0","0.0","0.0"
"Muhammed ?engezer","T?rkiye","D","37","0","1","3330","1","0.03","0.03"
"Mert G?nok","T?rkiye","D","19","0","0","1645","0","0.0","0.0"
"Merih Demiral","T?rkiye","D","29","2","1","2368","3","0.11","0.1"
"Ozan Kabak","T?rkiye","D","27","4","0","1738","4","0.21","0.15"
"Abd?lkerim Bardakc?","T?rkiye","D","45","1","1","3819","2","0.05","0.05"
"Samet Akaydin","T?rkiye","D","30","4","2","2650","6","0.2","0.2"
"Ferdi Kad?o?lu","T?rkiye","D","42","2","0","3475","2","0.05","0.05"
"Eren Elmal?","T?rkiye","D","40","4","0","2196","4","0.16","0.1"
"Mustafa Eskihella?","T?rkiye","D","33","1","5","2710","6","0.2","0.18"
"Zeki ?elik","T?rkiye","D","43","1","4","3471","5","0.13","0.12"
"Mert M?ld?r","T?rkiye","D","41","1","2","2443","3","0.11","0.07"
"Hakan ?alhano?lu","T?rkiye","D","32","12","7","2310","19","0.74","0.59"
"?smail Y?ksek","T?rkiye","D","47","2","2","2868","4","0.13","0.09"
"Atakan Karazor","T?rkiye","D","44","2","1","3197","3","0.08","0.06"
"Salih ?zcan","T?rkiye","D","13","0","0","81","0","0.0","0.0"
"Kaan Ayhan","T?rkiye","D","27","0","0","715","0","0.0","0.0"
"Orkun K?k??","T?rkiye","D","41","9","10","3178","19","0.54","0.46"
"Arda G?ler","T?rkiye","D","52","6","15","3412","21","0.55","0.4"
"Kenan Y?ld?z","T?rkiye","D","47","11","10","3702","21","0.51","0.45"
"Bar?? Alper Y?lmaz","T?rkiye","D","50","12","15","3723","27","0.65","0.54"
"Kerem Akt?rko?lu","T?rkiye","D","49","15","8","3435","23","0.6","0.47"
"O?uz Ayd?n","T?rkiye","D","37","0","3","1209","3","0.22","0.08"
"Yunus Akg?n","T?rkiye","D","41","10","11","2405","21","0.79","0.51"
"?rfan Can Kahveci","T?rkiye","D","27","2","3","1570","5","0.29","0.19"
"Deniz G?l","T?rkiye","D","43","6","2","1679","8","0.43","0.19"
